"resultado","convocatoria","escalafon","sexo","disciplina_codigo","n"
"Denegado","2013",NA,"M","KA5",5
"Denegado","2013",NA,"M","KB1",1
"Denegado","2013",NA,"M","KB2",3
"Denegado","2013",NA,"M","KB4",2
"Denegado","2013",NA,"M","KE1",6
"Denegado","2013",NA,"M","KE2",1
"Denegado","2013",NA,"M","KE3",5
"Denegado","2013",NA,"M","KE5",2
"Denegado","2013",NA,"M","KS1",1
"Denegado","2013",NA,"M","KS3",1
"Denegado","2013",NA,"M","KS4",3
"Denegado","2013",NA,"M","KS6",1
"Denegado","2014","Becas doctorales","F","KA1",34
"Denegado","2014","Becas doctorales","F","KA2",6
"Denegado","2014","Becas doctorales","F","KA3",10
"Denegado","2014","Becas doctorales","F","KA4",5
"Denegado","2014","Becas doctorales","F","KA5",29
"Denegado","2014","Becas doctorales","F","KA6",4
"Denegado","2014","Becas doctorales","F","KB1",48
"Denegado","2014","Becas doctorales","F","KB2",89
"Denegado","2014","Becas doctorales","F","KB3",39
"Denegado","2014","Becas doctorales","F","KB4",16
"Denegado","2014","Becas doctorales","F","KE1",11
"Denegado","2014","Becas doctorales","F","KE2",5
"Denegado","2014","Becas doctorales","F","KE3",3
"Denegado","2014","Becas doctorales","F","KE4",1
"Denegado","2014","Becas doctorales","F","KE5",13
"Denegado","2014","Becas doctorales","F","KS1",38
"Denegado","2014","Becas doctorales","F","KS2",47
"Denegado","2014","Becas doctorales","F","KS3",23
"Denegado","2014","Becas doctorales","F","KS4",103
"Denegado","2014","Becas doctorales","F","KS5",115
"Denegado","2014","Becas doctorales","F","KS6",10
"Denegado","2014","Becas doctorales","F","KS7",55
"Denegado","2014","Becas doctorales","F","KS8",23
"Denegado","2014","Becas doctorales","M","KA1",15
"Denegado","2014","Becas doctorales","M","KA2",11
"Denegado","2014","Becas doctorales","M","KA3",4
"Denegado","2014","Becas doctorales","M","KA4",11
"Denegado","2014","Becas doctorales","M","KA5",13
"Denegado","2014","Becas doctorales","M","KA6",4
"Denegado","2014","Becas doctorales","M","KB1",22
"Denegado","2014","Becas doctorales","M","KB2",38
"Denegado","2014","Becas doctorales","M","KB3",15
"Denegado","2014","Becas doctorales","M","KB4",3
"Denegado","2014","Becas doctorales","M","KE1",2
"Denegado","2014","Becas doctorales","M","KE2",1
"Denegado","2014","Becas doctorales","M","KE3",6
"Denegado","2014","Becas doctorales","M","KE4",1
"Denegado","2014","Becas doctorales","M","KE5",5
"Denegado","2014","Becas doctorales","M","KS1",30
"Denegado","2014","Becas doctorales","M","KS2",27
"Denegado","2014","Becas doctorales","M","KS3",24
"Denegado","2014","Becas doctorales","M","KS4",55
"Denegado","2014","Becas doctorales","M","KS5",54
"Denegado","2014","Becas doctorales","M","KS6",11
"Denegado","2014","Becas doctorales","M","KS7",24
"Denegado","2014","Becas doctorales","M","KS8",7
"Denegado","2014","Becas externas","F","KA5",1
"Denegado","2014","Becas externas","F","KB2",1
"Denegado","2014","Becas externas","M","KS1",1
"Denegado","2014","Becas postdoctorales","F","KA1",18
"Denegado","2014","Becas postdoctorales","F","KA2",1
"Denegado","2014","Becas postdoctorales","F","KA3",3
"Denegado","2014","Becas postdoctorales","F","KA5",3
"Denegado","2014","Becas postdoctorales","F","KA6",2
"Denegado","2014","Becas postdoctorales","F","KB1",2
"Denegado","2014","Becas postdoctorales","F","KB2",1
"Denegado","2014","Becas postdoctorales","F","KB3",9
"Denegado","2014","Becas postdoctorales","F","KE1",5
"Denegado","2014","Becas postdoctorales","F","KE5",5
"Denegado","2014","Becas postdoctorales","F","KS1",9
"Denegado","2014","Becas postdoctorales","F","KS2",11
"Denegado","2014","Becas postdoctorales","F","KS3",6
"Denegado","2014","Becas postdoctorales","F","KS4",28
"Denegado","2014","Becas postdoctorales","F","KS5",20
"Denegado","2014","Becas postdoctorales","F","KS7",12
"Denegado","2014","Becas postdoctorales","F","KS8",3
"Denegado","2014","Becas postdoctorales","F","KT1",3
"Denegado","2014","Becas postdoctorales","M","KA1",9
"Denegado","2014","Becas postdoctorales","M","KA2",7
"Denegado","2014","Becas postdoctorales","M","KA3",1
"Denegado","2014","Becas postdoctorales","M","KA4",1
"Denegado","2014","Becas postdoctorales","M","KA5",5
"Denegado","2014","Becas postdoctorales","M","KA6",2
"Denegado","2014","Becas postdoctorales","M","KB1",1
"Denegado","2014","Becas postdoctorales","M","KB2",2
"Denegado","2014","Becas postdoctorales","M","KB3",5
"Denegado","2014","Becas postdoctorales","M","KB4",1
"Denegado","2014","Becas postdoctorales","M","KE3",1
"Denegado","2014","Becas postdoctorales","M","KE5",1
"Denegado","2014","Becas postdoctorales","M","KS1",6
"Denegado","2014","Becas postdoctorales","M","KS2",1
"Denegado","2014","Becas postdoctorales","M","KS3",9
"Denegado","2014","Becas postdoctorales","M","KS4",11
"Denegado","2014","Becas postdoctorales","M","KS5",6
"Denegado","2014","Becas postdoctorales","M","KS7",2
"Denegado","2014","Becas postdoctorales","M","KS8",3
"Denegado","2014","Becas postdoctorales","M","KT1",3
"Denegado","2014",NA,"F","KA1",9
"Denegado","2014",NA,"F","KA2",2
"Denegado","2014",NA,"F","KA3",3
"Denegado","2014",NA,"F","KA4",1
"Denegado","2014",NA,"F","KA5",8
"Denegado","2014",NA,"F","KB1",7
"Denegado","2014",NA,"F","KB2",4
"Denegado","2014",NA,"F","KB3",11
"Denegado","2014",NA,"F","KE1",9
"Denegado","2014",NA,"F","KE3",1
"Denegado","2014",NA,"F","KE5",4
"Denegado","2014",NA,"F","KS1",8
"Denegado","2014",NA,"F","KS2",4
"Denegado","2014",NA,"F","KS3",4
"Denegado","2014",NA,"F","KS4",12
"Denegado","2014",NA,"F","KS5",16
"Denegado","2014",NA,"F","KS6",5
"Denegado","2014",NA,"F","KS7",3
"Denegado","2014",NA,"M","KA1",5
"Denegado","2014",NA,"M","KA2",4
"Denegado","2014",NA,"M","KA3",3
"Denegado","2014",NA,"M","KA4",5
"Denegado","2014",NA,"M","KA5",2
"Denegado","2014",NA,"M","KB1",3
"Denegado","2014",NA,"M","KB2",3
"Denegado","2014",NA,"M","KB3",4
"Denegado","2014",NA,"M","KB4",3
"Denegado","2014",NA,"M","KE1",3
"Denegado","2014",NA,"M","KE2",1
"Denegado","2014",NA,"M","KE3",1
"Denegado","2014",NA,"M","KE5",1
"Denegado","2014",NA,"M","KS1",4
"Denegado","2014",NA,"M","KS3",1
"Denegado","2014",NA,"M","KS4",3
"Denegado","2014",NA,"M","KS5",5
"Denegado","2014",NA,"M","KS6",6
"Denegado","2014",NA,"M","KS7",1
"Denegado","2014",NA,"M","KS8",1
"Denegado","2015","Becas doctorales","F","KA1",32
"Denegado","2015","Becas doctorales","F","KA2",5
"Denegado","2015","Becas doctorales","F","KA3",11
"Denegado","2015","Becas doctorales","F","KA4",7
"Denegado","2015","Becas doctorales","F","KA5",29
"Denegado","2015","Becas doctorales","F","KA6",11
